"Destination Instance","Destination Function","CR Instance","Input CR#","Input SSS","Source Instance","Source Signal","MCXE315_MCXE316_100hdqfp","MCXE315_MCXE316_48lqfp"
"","","","","0000_0100","-","disable low","",""
"","","","","0000_0101","IO_PAD","PTC16","44","20"
"","","","","0000_0110","IO_PAD","PTA4","98","48"
"LPI2C1","LPI2C1_SDAS","SIUL","SIUL_IMCR732","0000_0000","-","disable low","",""
"","","","","0000_0001","IO_PAD","PTC16","44","20"
"LPSPI0","LPSPI0_PCS0","SIUL","SIUL_IMCR733","0000_0000","-","disable low","",""
"","","","","0000_0001","IO_PAD","PTB0","54","26"
"","","","","0000_0010","IO_PAD","PTB5","27","14"
"","","","","0000_0011","-","disable low","",""
"","","","","0000_0100","-","disable low","",""
"","","","","0000_0101","-","disable low","",""
"","","","","0000_0110","IO_PAD","PTC7","80","39"
"","","","","0000_0111","IO_PAD","PTD6","32",""
"LPSPI0","LPSPI0_PCS1","SIUL","SIUL_IMCR734","0000_0000","-","disable low","",""
"","","","","0000_0001","IO_PAD","PTB5","27","14"
"","","","","0000_0010","-","disable low","",""
"","","","","0000_0011","IO_PAD","PTA7","57","29"
"","","","","0000_0100","IO_PAD","PTC6","81","40"
"","","","","0000_0101","IO_PAD","PTD5","33","18"
"LPSPI0","LPSPI0_PCS2","SIUL","SIUL_IMCR735","0000_0000","-","disable low","",""
"","","","","0000_0001","IO_PAD","PTE6","84",""
"","","","","0000_0010","IO_PAD","PTC2","30","17"
"LPSPI0","LPSPI0_PCS3","SIUL","SIUL_IMCR736","0000_0000","-","disable low","",""
"","","","","0000_0001","IO_PAD","PTA15","83",""
"","","","","0000_0010","IO_PAD","PTD7","31",""
"LPSPI0","LPSPI0_PCS4","SIUL","SIUL_IMCR737","0000_0000","-","disable low","",""
"","","","","0000_0001","IO_PAD","PTA16","82",""
"LPSPI0","LPSPI0_PCS5","SIUL","SIUL_IMCR738","0000_0000","-","disable low","",""
"","","","","0000_0001","IO_PAD","PTB8","77",""
"LPSPI0","LPSPI0_PCS6","SIUL","SIUL_IMCR739","0000_0000","-","disable low","",""
"","","","","0000_0001","IO_PAD","PTA1","78","37"
"LPSPI0","LPSPI0_PCS7","SIUL","SIUL_IMCR740","0000_0000","-","disable low","",""
"","","","","0000_0001","IO_PAD","PTA0","79","38"
"LPSPI0","LPSPI0_SCK","SIUL","SIUL_IMCR741","0000_0000","-","disable low","",""
"","","","","0000_0001","IO_PAD","PTC8","56","28"
"","","","","0000_0010","IO_PAD","PTE1","93",""
"","","","","0000_0011","IO_PAD","PTD15","22","11"
"","","","","0000_0100","-","disable low","",""
"","","","","0000_0101","IO_PAD","PTD11","35",""
"LPSPI0","LPSPI0_SIN","SIUL","SIUL_IMCR742","0000_0000","-","disable low","",""
"","","","","0000_0001","IO_PAD","PTE0","94",""
"","","","","0000_0010","IO_PAD","PTC9","55","27"
"","","","","0000_0011","IO_PAD","PTD16","21",""
"","","","","0000_0100","IO_PAD","PTD10","36",""
"LPSPI0","LPSPI0_SOUT","SIUL","SIUL_IMCR743","0000_0000","-","disable low","",""
"","","","","0000_0001","IO_PAD","PTE2","85",""
"","","","","0000_0010","IO_PAD","PTB4","28","15"
"","","","","0000_0011","IO_PAD","PTB1","53","25"
"","","","","0000_0100","-","disable low","",""
"","","","","0000_0101","IO_PAD","PTD12","34",""
"LPSPI1","LPSPI1_PCS0","SIUL","SIUL_IMCR744","0000_0000","-","disable low","",""
"","","","","0000_0001","IO_PAD","PTD3","70","33"
"","","","","0000_0010","IO_PAD","PTA11","91","43"
"","","","","0000_0011","-","disable low","",""
"","","","","0000_0100","-","disable low","",""
"","","","","0000_0101","-","disable low","",""
"LPSPI1","LPSPI1_PCS1","SIUL","SIUL_IMCR745","0000_0000","-","disable low","",""
"","","","","0000_0001","IO_PAD","PTA6","58",""
"","","","","0000_0010","-","disable low","",""
"","","","","0000_0011","-","disable low","",""
"","","","","0000_0100","IO_PAD","PTC6","81","40"
"","","","","0000_0101","-","disable low","",""
"","","","","0000_0110","IO_PAD","PTD4","69",""
"LPSPI1","LPSPI1_PCS2","SIUL","SIUL_IMCR746","0000_0000","-","disable low","",""
"","","","","0000_0001","-","disable low","",""
"","","","","0000_0010","IO_PAD","PTA16","82",""
"LPSPI1","LPSPI1_PCS3","SIUL","SIUL_IMCR747","0000_0000","-","disable low","",""
"","","","","0000_0001","IO_PAD","PTB17","63",""
"","","","","0000_0010","IO_PAD","PTA14","88",""
"LPSPI1","LPSPI1_PCS4","SIUL","SIUL_IMCR748","0000_0000","-","disable low","",""
"","","","","0000_0001","IO_PAD","PTA13","89","41"
"LPSPI1","LPSPI1_PCS5","SIUL","SIUL_IMCR749","0000_0000","-","disable low","",""
"","","","","0000_0001","IO_PAD","PTA12","90","42"
"LPSPI1","LPSPI1_SCK","SIUL","SIUL_IMCR750","0000_0000","-","disable low","",""
"","","","","0000_0001","IO_PAD","PTA3","72","35"
"","","","","0000_0010","IO_PAD","PTB14","66",""
"","","","","0000_0011","-","disable low","",""
"","","","","0000_0100","-","disable low","",""
"LPSPI1","LPSPI1_SIN","SIUL","SIUL_IMCR751","0000_0000","-","disable low","",""
"","","","","0000_0001","IO_PAD","PTB15","65",""
"","","","","0000_0010","IO_PAD","PTA2","73","36"
"","","","","0000_0011","-","disable low","",""
"","","","","0000_0100","-","disable low","",""
"LPSPI1","LPSPI1_SOUT","SIUL","SIUL_IMCR752","0000_0000","-","disable low","",""
"","","","","0000_0001","IO_PAD","PTD2","71","34"
"","","","","0000_0010","IO_PAD","PTB16","64",""
"","","","","0000_0011","-","disable low","",""
"","","","","0000_0100","-","disable low","",""
"","","","","0000_0101","-","disable low","",""
"LPSPI2","LPSPI2_PCS0","SIUL","SIUL_IMCR753","0000_0000","-","disable low","",""
"","","","","0000_0001","IO_PAD","PTA9","99",""
"","","","","0000_0010","IO_PAD","PTC14","46","22"
"","","","","0000_0011","IO_PAD","PTE11","5",""
"","","","","0000_0100","-","disable low","",""
"","","","","0000_0101","IO_PAD","PTE13","7",""
"","","","","0000_0110","-","disable low","",""
"LPSPI2","LPSPI2_PCS1","SIUL","SIUL_IMCR754","0000_0000","-","disable low","",""
"","","","","0000_0001","IO_PAD","PTE10","6",""
"","","","","0000_0010","-","disable low","",""
"","","","","0000_0011","IO_PAD","PTC10","52",""
"","","","","0000_0100","IO_PAD","PTC12","50",""
"LPSPI2","LPSPI2_PCS2","SIUL","SIUL_IMCR755","0000_0000","-","disable low","",""
"","","","","0000_0001","-","disable low","",""
"","","","","0000_0010","IO_PAD","PTE13","7",""
"","","","","0000_0011","-","disable low","",""
"LPSPI2","LPSPI2_PCS3","SIUL","SIUL_IMCR756","0000_0000","-","disable low","",""
"","","","","0000_0001","IO_PAD","PTA15","83",""
"","","","","0000_0010","-","disable low","",""
"LPSPI2","LPSPI2_SCK","SIUL","SIUL_IMCR757","0000_0000","-","disable low","",""
"","","","","0000_0001","IO_PAD","PTE15","2",""
"","","","","0000_0010","IO_PAD","PTC15","45","21"
"","","","","0000_0011","-","disable low","",""
"","","","","0000_0100","-","disable low","",""
"LPSPI2","LPSPI2_SIN","SIUL","SIUL_IMCR758","0000_0000","-","disable low","",""
"","","","","0000_0001","IO_PAD","PTE16","1",""
"","","","","0000_0010","IO_PAD","PTB2","48","24"
"","","","","0000_0011","-","disable low","",""
"","","","","0000_0100","-","disable low","",""
"LPSPI2","LPSPI2_SOUT","SIUL","SIUL_IMCR759","0000_0000","-","disable low","",""
"","","","","0000_0001","IO_PAD","PTA8","100",""
"","","","","0000_0010","IO_PAD","PTB3","47","23"
"","","","","0000_0011","-","disable low","",""
"","","","","0000_0100","-","disable low","",""
"LPSPI3","LPSPI3_PCS0","SIUL","SIUL_IMCR760","0000_0000","-","disable low","",""
"","","","","0000_0001","IO_PAD","PTD17","20",""
"","","","","0000_0010","IO_PAD","PTB17","63",""
"","","","","0000_0011","IO_PAD","PTA9","99",""
"","","","","0000_0100","-","disable low","",""
"LPSPI3","LPSPI3_PCS1","SIUL","SIUL_IMCR761","0000_0000","-","disable low","",""
"","","","","0000_0001","IO_PAD","PTE8","26","13"
"","","","","0000_0010","-","disable low","",""
"","","","","0000_0011","-","disable low","",""
"","","","","0000_0100","-","disable low","",""
"","","","","0000_0101","IO_PAD","PTA6","58",""
"LPSPI3","LPSPI3_PCS2","SIUL","SIUL_IMCR762","0000_0000","-","disable low","",""
"","","","","0000_0001","IO_PAD","PTB13","67","32"
"","","","","0000_0010","-","disable low","",""
"","","","","0000_0011","-","disable low","",""
"","","","","0000_0100","IO_PAD","PTC2","30","17"
"LPSPI3","LPSPI3_PCS3","SIUL","SIUL_IMCR763","0000_0000","-","disable low","",""
"","","","","0000_0001","IO_PAD","PTB12","68",""
"","","","","0000_0010","-","disable low","",""
"","","","","0000_0011","-","disable low","",""
"","","","","0000_0100","-","disable low","",""
"","","","","0000_0101","IO_PAD","PTD7","31",""
"LPSPI3","LPSPI3_SCK","SIUL","SIUL_IMCR764","0000_0000","-","disable low","",""
"","","","","0000_0001","IO_PAD","PTD1","3","1"
"","","","","0000_0010","IO_PAD","PTE7","59",""
"","","","","0000_0011","IO_PAD","PTC17","43",""
"","","","","0000_0100","-","disable low","",""
"LPSPI3","LPSPI3_SIN","SIUL","SIUL_IMCR765","0000_0000","-","disable low","",""
"","","","","0000_0001","IO_PAD","PTE10","6",""
"","","","","0000_0010","-","disable low","",""
"","","","","0000_0011","IO_PAD","PTC16","44","20"
"","","","","0000_0100","-","disable low","",""
"LPSPI3","LPSPI3_SOUT","SIUL","SIUL_IMCR766","0000_0000","-","disable low","",""
"","","","","0000_0001","IO_PAD","PTD0","4","2"
"","","","","0000_0010","IO_PAD","PTA17","",""
"","","","","0000_0011","IO_PAD","PTD8","42",""
"","","","","0000_0100","-","disable low","",""
"LPUART0","LPUART0_CTS","SIUL","SIUL_IMCR872","0000_0000","-","disable high","",""
"","","","","0000_0001","IO_PAD","PTA0","79","38"
"","","","","0000_0010","IO_PAD","PTC8","56","28"
"LPUART0","LPUART0_DCD_B","SIUL","SIUL_IMCR886","0000_0000","-","disable low","",""
"","","","","0000_0001","IO_PAD","PTA7","57","29"
"","","","","0000_0010","IO_PAD","PTB12","68",""
"LPUART0","LPUART0_DSR_B","SIUL","SIUL_IMCR885","0000_0000","-","disable low","",""
"","","","","0000_0001","IO_PAD","PTC10","52",""
"","","","","0000_0010","IO_PAD","PTB11","74",""
"LPUART0","LPUART0_RIN_B","SIUL","SIUL_IMCR887","0000_0000","-","disable low","",""
"","","","","0000_0001","IO_PAD","PTA6","58",""
"","","","","0000_0010","IO_PAD","PTB13","67","32"
"LPUART0","LPUART0_RX","SIUL","SIUL_IMCR699","0000_0000","-","disable low","",""
"","","","","0000_0001","IO_PAD","PTA2","73","36"
"","","","","0000_0010","IO_PAD","PTB0","54","26"
"","","","","0000_0011","IO_PAD","PTC2","30","17"
"","","","","0000_0100","-","disable low","",""
"LPUART0","LPUART0_TX","SIUL","SIUL_IMCR875","0000_0000","-","disable low","",""
"","","","","0000_0001","IO_PAD","PTA3","72","35"
"","","","","0000_0010","IO_PAD","PTB1","53","25"
"","","","","0000_0011","IO_PAD","PTC3","29","16"
"","","","","0000_0100","-","disable low","",""
"LPUART1","LPUART1_CTS","SIUL","SIUL_IMCR873","0000_0000","-","disable high","",""
"","","","","0000_0001","IO_PAD","PTE2","85",""
"","","","","0000_0010","IO_PAD","PTA6","58",""
"","","","","0000_0011","IO_PAD","PTE15","2",""
"LPUART1","LPUART1_DCD_B","SIUL","SIUL_IMCR889","0000_0000","-","disable low","",""
"","","","","0000_0001","IO_PAD","PTB8","77",""
"","","","","0000_0010","-","disable low","",""
"LPUART1","LPUART1_DSR_B","SIUL","SIUL_IMCR890","0000_0000","-","disable low","",""
"","","","","0000_0001","IO_PAD","PTA16","82",""
"","","","","0000_0010","-","disable low","",""
"LPUART1","LPUART1_RIN_B","SIUL","SIUL_IMCR888","0000_0000","-","disable low","",""
"","","","","0000_0001","IO_PAD","PTB9","76",""
"","","","","0000_0010","-","disable low","",""
"LPUART1","LPUART1_RX","SIUL","SIUL_IMCR700","0000_0000","-","disable low","",""
"","","","","0000_0001","IO_PAD","PTC6","81","40"
"","","","","0000_0010","IO_PAD","PTC8","56","28"
"","","","","0000_0011","IO_PAD","PTD13","25",""
"","","","","0000_0100","-","disable low","",""
"","","","","0000_0101","-","disable low","",""
"LPUART1","LPUART1_TX","SIUL","SIUL_IMCR876","0000_0000","-","disable low","",""
"","","","","0000_0001","IO_PAD","PTC7","80","39"
"","","","","0000_0010","IO_PAD","PTC9","55","27"
"","","","","0000_0011","IO_PAD","PTD14","24",""
"","","","","0000_0100","-","disable low","",""
"","","","","0000_0101","-","disable low","",""
"LPUART2","LPUART2_CTS","SIUL","SIUL_IMCR874","0000_0000","-","disable high","",""
"","","","","0000_0001","IO_PAD","PTD11","35",""
"","","","","0000_0010","IO_PAD","PTD15","22","11"
"","","","","0000_0011","IO_PAD","PTE9","23","12"
"LPUART2","LPUART2_RX","SIUL","SIUL_IMCR701","0000_0000","-","disable low","",""
"","","","","0000_0001","IO_PAD","PTD6","32",""
"","","","","0000_0010","IO_PAD","PTD17","20",""
"","","","","0000_0011","IO_PAD","PTA8","100",""
"","","","","0000_0100","-","disable low","",""
"","","","","0000_0101","IO_PAD","PTC16","44","20"
"LPUART2","LPUART2_TX","SIUL","SIUL_IMCR877","0000_0000","-","disable low","",""
"","","","","0000_0001","IO_PAD","PTA9","99",""
"","","","","0000_0010","IO_PAD","PTC15","45","21"
"","","","","0000_0011","IO_PAD","PTD7","31",""
"","","","","0000_0100","IO_PAD","PTE12","19",""
"","","","","0000_0101","-","disable low","",""
"LPUART3","LPUART3_RX","SIUL","SIUL_IMCR702","0000_0000","-","disable low","",""
"","","","","0000_0001","IO_PAD","PTE15","2",""
"","","","","0000_0010","IO_PAD","PTA6","58",""
"","","","","0000_0011","IO_PAD","PTD3","70","33"
"LPUART3","LPUART3_TX","SIUL","SIUL_IMCR878","0000_0000","-","disable low","",""
"","","","","0000_0001","IO_PAD","PTA7","57","29"
"","","","","0000_0010","IO_PAD","PTD2","71","34"
"","","","","0000_0011","IO_PAD","PTE16","1",""
"SIUL","EIRQ[0]","SIUL","SIUL_IMCR528","0000_0000","-","disable low","",""
"","","","","0000_0001","IO_PAD","PTA0","79","38"
"","","","","0000_0010","-","disable low","",""
"","","","","0000_0011","IO_PAD","PTC0","40",""
"","","","","0000_0100","IO_PAD","PTE0","94",""
"","","","","0000_0101","-","disable low","",""
"SIUL","EIRQ[10]","SIUL","SIUL_IMCR538","0000_0000","-","disable low","",""
"","","","","0000_0001","IO_PAD","PTB2","48","24"
"","","","","0000_0010","-","disable low","",""
"","","","","0000_0011","IO_PAD","PTD2","71","34"
"","","","","0000_0100","IO_PAD","PTE11","5",""
"","","","","0000_0101","-","disable low","",""
"SIUL","EIRQ[11]","SIUL","SIUL_IMCR539","0000_0000","-","disable low","",""
"","","","","0000_0001","IO_PAD","PTB3","47","23"
"","","","","0000_0010","-","disable low","",""
"","","","","0000_0011","IO_PAD","PTD3","70","33"
"","","","","0000_0100","IO_PAD","PTE12","19",""
"","","","","0000_0101","-","disable low","",""
"SIUL","EIRQ[12]","SIUL","SIUL_IMCR540","0000_0000","-","disable low","",""
"","","","","0000_0001","IO_PAD","PTB4","28","15"
"","","","","0000_0010","-","disable low","",""
"","","","","0000_0011","IO_PAD","PTD4","69",""
"","","","","0000_0100","IO_PAD","PTE13","7",""
"","","","","0000_0101","-","disable low","",""
"SIUL","EIRQ[13]","SIUL","SIUL_IMCR541","0000_0000","-","disable low","",""
"","","","","0000_0001","IO_PAD","PTB5","27","14"
"","","","","0000_0010","-","disable low","",""
"","","","","0000_0011","IO_PAD","PTD5","33","18"
"","","","","0000_0100","-","disable low","",""
"","","","","0000_0101","-","disable low","",""
"SIUL","EIRQ[14]","SIUL","SIUL_IMCR542","0000_0000","-","disable low","",""
"","","","","0000_0001","IO_PAD","PTB8","77",""
"","","","","0000_0010","-","disable low","",""
"","","","","0000_0011","IO_PAD","PTD6","32",""
"","","","","0000_0100","IO_PAD","PTE15","2",""
"","","","","0000_0101","-","disable low","",""
"SIUL","EIRQ[15]","SIUL","SIUL_IMCR543","0000_0000","-","disable low","",""
"","","","","0000_0001","IO_PAD","PTB9","76",""
"","","","","0000_0010","-","disable low","",""
"","","","","0000_0011","IO_PAD","PTD7","31",""
"","","","","0000_0100","IO_PAD","PTE16","1",""
"","","","","0000_0101","-","disable low","",""
"SIUL","EIRQ[16]","SIUL","SIUL_IMCR544","0000_0000","-","disable low","",""
"","","","","0000_0001","IO_PAD","PTA8","100",""
"","","","","0000_0010","IO_PAD","PTC8","56","28"
"","","","","0000_0011","-","disable low","",""
"","","","","0000_0100","-","disable low","",""
"SIUL","EIRQ[17]","SIUL","SIUL_IMCR545","0000_0000","-","disable low","",""
"","","","","0000_0001","IO_PAD","PTA9","99",""
"","","","","0000_0010","IO_PAD","PTC9","55","27"
"","","","","0000_0011","-","disable low","",""
"","","","","0000_0100","-","disable low","",""
"SIUL","EIRQ[18]","SIUL","SIUL_IMCR546","0000_0000","-","disable low","",""
"","","","","0000_0001","IO_PAD","PTA10","92","44"
"","","","","0000_0010","IO_PAD","PTC10","52",""
"","","","","0000_0011","-","disable low","",""
"","","","","0000_0100","-","disable low","",""
"SIUL","EIRQ[19]","SIUL","SIUL_IMCR547","0000_0000","-","disable low","",""
"","","","","0000_0001","IO_PAD","PTA11","91","43"
"","","","","0000_0010","IO_PAD","PTC11","51",""
"","","","","0000_0011","-","disable low","",""
"","","","","0000_0100","-","disable low","",""
"SIUL","EIRQ[1]","SIUL","SIUL_IMCR529","0000_0000","-","disable low","",""
"","","","","0000_0001","IO_PAD","PTA1","78","37"
"","","","","0000_0010","-","disable low","",""
"","","","","0000_0011","IO_PAD","PTC1","39","19"
"","","","","0000_0100","IO_PAD","PTE1","93",""
"","","","","0000_0101","-","disable low","",""
"SIUL","EIRQ[20]","SIUL","SIUL_IMCR548","0000_0000","-","disable low","",""
"","","","","0000_0001","IO_PAD","PTA12","90","42"
"","","","","0000_0010","IO_PAD","PTC12","50",""
"","","","","0000_0011","-","disable low","",""
"","","","","0000_0100","-","disable low","",""
"SIUL","EIRQ[21]","SIUL","SIUL_IMCR549","0000_0000","-","disable low","",""
"","","","","0000_0001","IO_PAD","PTA13","89","41"
"","","","","0000_0010","IO_PAD","PTC13","49",""
"","","","","0000_0011","-","disable low","",""
"","","","","0000_0100","-","disable low","",""
"SIUL","EIRQ[22]","SIUL","SIUL_IMCR550","0000_0000","-","disable low","",""
"","","","","0000_0001","IO_PAD","PTA14","88",""
"","","","","0000_0010","IO_PAD","PTC14","46","22"
"","","","","0000_0011","-","disable low","",""
"","","","","0000_0100","-","disable low","",""
"SIUL","EIRQ[23]","SIUL","SIUL_IMCR551","0000_0000","-","disable low","",""
"","","","","0000_0001","IO_PAD","PTA15","83",""
"","","","","0000_0010","IO_PAD","PTC15","45","21"
"","","","","0000_0011","-","disable low","",""
"","","","","0000_0100","-","disable low","",""
"SIUL","EIRQ[24]","SIUL","SIUL_IMCR552","0000_0000","-","disable low","",""
"","","","","0000_0001","IO_PAD","PTB10","75",""
"","","","","0000_0010","IO_PAD","PTD8","42",""
"","","","","0000_0011","IO_PAD","PTD17","20",""
"","","","","0000_0100","-","disable low","",""
"SIUL","EIRQ[25]","SIUL","SIUL_IMCR553","0000_0000","-","disable low","",""
"","","","","0000_0001","IO_PAD","PTB11","74",""
"","","","","0000_0010","IO_PAD","PTD9","41",""
"","","","","0000_0011","-","disable low","",""
"","","","","0000_0100","-","disable low","",""
"SIUL","EIRQ[26]","SIUL","SIUL_IMCR554","0000_0000","-","disable low","",""
"","","","","0000_0001","IO_PAD","PTB12","68",""
"","","","","0000_0010","IO_PAD","PTD10","36",""
"","","","","0000_0011","-","disable low","",""
"","","","","0000_0100","-","disable low","",""
"SIUL","EIRQ[27]","SIUL","SIUL_IMCR555","0000_0000","-","disable low","",""
"","","","","0000_0001","IO_PAD","PTB13","67","32"
"","","","","0000_0010","IO_PAD","PTD11","35",""
"","","","","0000_0011","-","disable low","",""
"","","","","0000_0100","-","disable low","",""
"SIUL","EIRQ[28]","SIUL","SIUL_IMCR556","0000_0000","-","disable low","",""
"","","","","0000_0001","IO_PAD","PTB14","66",""
"","","","","0000_0010","IO_PAD","PTD12","34",""
"","","","","0000_0011","-","disable low","",""
"","","","","0000_0100","-","disable low","",""
"SIUL","EIRQ[29]","SIUL","SIUL_IMCR557","0000_0000","-","disable low","",""
"","","","","0000_0001","IO_PAD","PTB15","65",""
"","","","","0000_0010","IO_PAD","PTD13","25",""
"","","","","0000_0011","-","disable low","",""
"","","","","0000_0100","-","disable low","",""
"SIUL","EIRQ[2]","SIUL","SIUL_IMCR530","0000_0000","-","disable low","",""
"","","","","0000_0001","IO_PAD","PTA2","73","36"
"","","","","0000_0010","-","disable low","",""
"","","","","0000_0011","IO_PAD","PTC2","30","17"
"","","","","0000_0100","IO_PAD","PTE2","85",""
"","","","","0000_0101","-","disable low","",""
"SIUL","EIRQ[30]","SIUL","SIUL_IMCR558","0000_0000","-","disable low","",""
"","","","","0000_0001","IO_PAD","PTB16","64",""
"","","","","0000_0010","-","disable low","",""
"","","","","0000_0011","IO_PAD","PTD14","24",""
"","","","","0000_0100","-","disable low","",""
"SIUL","EIRQ[31]","SIUL","SIUL_IMCR559","0000_0000","-","disable low","",""
"","","","","0000_0001","IO_PAD","PTB17","63",""
"","","","","0000_0010","IO_PAD","PTD15","22","11"
"","","","","0000_0011","-","disable low","",""
"","","","","0000_0100","-","disable low","",""
"SIUL","EIRQ[3]","SIUL","SIUL_IMCR531","0000_0000","-","disable low","",""
"","","","","0000_0001","IO_PAD","PTA3","72","35"
"","","","","0000_0010","-","disable low","",""
"","","","","0000_0011","IO_PAD","PTC3","29","16"
"","","","","0000_0100","IO_PAD","PTE3","18",""
"","","","","0000_0101","-","disable low","",""
"SIUL","EIRQ[4]","SIUL","SIUL_IMCR532","0000_0000","-","disable low","",""
"","","","","0000_0001","IO_PAD","PTA4","98","48"
"","","","","0000_0010","IO_PAD","PTA16","82",""
"","","","","0000_0011","IO_PAD","PTC4","96","46"
"","","","","0000_0100","-","disable low","",""
"","","","","0000_0101","-","disable low","",""
"SIUL","EIRQ[5]","SIUL","SIUL_IMCR533","0000_0000","-","disable low","",""
"","","","","0000_0001","IO_PAD","PTA5","97","47"
"","","","","0000_0010","-","disable low","",""
"","","","","0000_0011","IO_PAD","PTC5","95","45"
"","","","","0000_0100","-","disable low","",""
"","","","","0000_0101","-","disable low","",""
"SIUL","EIRQ[6]","SIUL","SIUL_IMCR534","0000_0000","-","disable low","",""
"","","","","0000_0001","IO_PAD","PTA6","58",""
"","","","","0000_0010","-","disable low","",""
"","","","","0000_0011","IO_PAD","PTC6","81","40"
"","","","","0000_0100","IO_PAD","PTE6","84",""
"","","","","0000_0101","-","disable low","",""
"SIUL","EIRQ[7]","SIUL","SIUL_IMCR535","0000_0000","-","disable low","",""
"","","","","0000_0001","IO_PAD","PTA7","57","29"
"","","","","0000_0010","-","disable low","",""
"","","","","0000_0011","IO_PAD","PTC7","80","39"
"","","","","0000_0100","IO_PAD","PTE8","26","13"
"","","","","0000_0101","-","disable low","",""
"SIUL","EIRQ[8]","SIUL","SIUL_IMCR536","0000_0000","-","disable low","",""
"","","","","0000_0001","IO_PAD","PTB0","54","26"
"","","","","0000_0010","-","disable low","",""
"","","","","0000_0011","IO_PAD","PTD0","4","2"
"","","","","0000_0100","IO_PAD","PTE9","23","12"
"","","","","0000_0101","-","disable low","",""
"SIUL","EIRQ[9]","SIUL","SIUL_IMCR537","0000_0000","-","disable low","",""
"","","","","0000_0001","IO_PAD","PTB1","53","25"
"","","","","0000_0010","-","disable low","",""
"","","","","0000_0011","IO_PAD","PTD1","3","1"
"","","","","0000_0100","IO_PAD","PTE10","6",""
"","","","","0000_0101","-","disable low","",""
"TRGMUX","TRGMUX_IN0","SIUL","SIUL_IMCR856","0000_0000","-","disable low","",""
"","","","","0000_0001","IO_PAD","PTB5","27","14"
"TRGMUX","TRGMUX_IN1","SIUL","SIUL_IMCR857","0000_0000","-","disable low","",""
"","","","","0000_0001","IO_PAD","PTB4","28","15"
"TRGMUX","TRGMUX_IN10","SIUL","SIUL_IMCR866","0000_0000","-","disable low","",""
"","","","","0000_0001","IO_PAD","PTC11","51",""
"TRGMUX","TRGMUX_IN11","SIUL","SIUL_IMCR867","0000_0000","-","disable low","",""
"","","","","0000_0001","IO_PAD","PTC10","52",""
"TRGMUX","TRGMUX_IN12","SIUL","SIUL_IMCR868","0000_0000","-","disable low","",""
"","","","","0000_0001","-","disable low","",""
"TRGMUX","TRGMUX_IN13","SIUL","SIUL_IMCR869","0000_0000","-","disable low","",""
"","","","","0000_0001","-","disable low","",""
"TRGMUX","TRGMUX_IN14","SIUL","SIUL_IMCR870","0000_0000","-","disable low","",""
"","","","","0000_0001","-","disable low","",""
"TRGMUX","TRGMUX_IN15","SIUL","SIUL_IMCR871","0000_0000","-","disable low","",""
"","","","","0000_0001","-","disable low","",""
"TRGMUX","TRGMUX_IN2","SIUL","SIUL_IMCR858","0000_0000","-","disable low","",""
"","","","","0000_0001","IO_PAD","PTB3","47","23"
"TRGMUX","TRGMUX_IN3","SIUL","SIUL_IMCR859","0000_0000","-","disable low","",""
"","","","","0000_0001","IO_PAD","PTB2","48","24"
"TRGMUX","TRGMUX_IN4","SIUL","SIUL_IMCR860","0000_0000","-","disable low","",""
"","","","","0000_0001","IO_PAD","PTD3","70","33"
"TRGMUX","TRGMUX_IN5","SIUL","SIUL_IMCR861","0000_0000","-","disable low","",""
"","","","","0000_0001","IO_PAD","PTD2","71","34"
"TRGMUX","TRGMUX_IN6","SIUL","SIUL_IMCR862","0000_0000","-","disable low","",""
"","","","","0000_0001","IO_PAD","PTE3","18",""
"","","","","0000_0010","IO_PAD","PTD1","3","1"
"TRGMUX","TRGMUX_IN7","SIUL","SIUL_IMCR863","0000_0000","-","disable low","",""
"","","","","0000_0001","IO_PAD","PTD5","33","18"
"","","","","0000_0010","IO_PAD","PTD0","4","2"
"TRGMUX","TRGMUX_IN8","SIUL","SIUL_IMCR864","0000_0000","-","disable low","",""
"","","","","0000_0001","IO_PAD","PTC15","45","21"
"","","","","0000_0010","IO_PAD","PTE11","5",""
"TRGMUX","TRGMUX_IN9","SIUL","SIUL_IMCR865","0000_0000","-","disable low","",""
"","","","","0000_0001","IO_PAD","PTC14","46","22"
